T,B,Olap,K,Var5m,TeffsNOTShared,Rxeff,ICC,CAC,Power
6,2,2,4,10,1,0.15,0.01,0.75,0.701
6,2,1,4,10,1,0.15,0.01,0.75,0.701
6,2,0,4,10,1,0.15,0.01,0.75,0.701
6,2,5,4,10,0,0,0.05,0.75,0.05
6,2,4,4,10,0,0,0.05,0.75,0.05
6,2,3,4,10,0,0,0.05,0.75,0.05
6,2,2,4,10,0,0,0.05,0.75,0.05
6,2,1,4,10,0,0,0.05,0.75,0.05
6,2,0,4,10,0,0,0.05,0.75,0.05
6,2,5,4,10,1,0,0.05,0.75,0.05
6,2,4,4,10,1,0,0.05,0.75,0.05
6,2,3,4,10,1,0,0.05,0.75,0.05
6,2,2,4,10,1,0,0.05,0.75,0.05
6,2,1,4,10,1,0,0.05,0.75,0.05
6,2,0,4,10,1,0,0.05,0.75,0.05
6,2,5,4,10,0,0.15,0.05,0.75,0.605
6,2,4,4,10,0,0.15,0.05,0.75,0.639
6,2,3,4,10,0,0.15,0.05,0.75,0.681
6,2,2,4,10,0,0.15,0.05,0.75,0.715
6,2,1,4,10,0,0.15,0.05,0.75,0.713
6,2,0,4,10,0,0.15,0.05,0.75,0.592
6,2,5,4,10,1,0.15,0.05,0.75,0.592
6,2,4,4,10,1,0.15,0.05,0.75,0.592
6,2,3,4,10,1,0.15,0.05,0.75,0.592
6,2,2,4,10,1,0.15,0.05,0.75,0.592
6,2,1,4,10,1,0.15,0.05,0.75,0.592
6,2,0,4,10,1,0.15,0.05,0.75,0.592
6,2,5,4,10,0,0,0.1,0.75,0.05
6,2,4,4,10,0,0,0.1,0.75,0.05
6,2,3,4,10,0,0,0.1,0.75,0.05
6,2,2,4,10,0,0,0.1,0.75,0.05
6,2,1,4,10,0,0,0.1,0.75,0.05
6,2,0,4,10,0,0,0.1,0.75,0.05
6,2,5,4,10,1,0,0.1,0.75,0.05
6,2,4,4,10,1,0,0.1,0.75,0.05
6,2,3,4,10,1,0,0.1,0.75,0.05
6,2,2,4,10,1,0,0.1,0.75,0.05
6,2,1,4,10,1,0,0.1,0.75,0.05
6,2,0,4,10,1,0,0.1,0.75,0.05
6,2,5,4,10,0,0.15,0.1,0.75,0.543
6,2,4,4,10,0,0.15,0.1,0.75,0.567
6,2,3,4,10,0,0.15,0.1,0.75,0.6
6,2,2,4,10,0,0.15,0.1,0.75,0.631
6,2,1,4,10,0,0.15,0.1,0.75,0.639
6,2,0,4,10,0,0.15,0.1,0.75,0.534
6,2,5,4,10,1,0.15,0.1,0.75,0.534
6,2,4,4,10,1,0.15,0.1,0.75,0.534
6,2,3,4,10,1,0.15,0.1,0.75,0.534
6,2,2,4,10,1,0.15,0.1,0.75,0.534
6,2,1,4,10,1,0.15,0.1,0.75,0.534
6,2,0,4,10,1,0.15,0.1,0.75,0.534
